date,SPX,QQQ,SEMIS,BOND,GOLD,OIL,USD,CASH
2015-10-09,168.728759765625,98.54876708984375,23.298547744750977,84.203125,110.87000274658203,13.3240966796875,20.65110206604004,73.41458892822266
2015-10-12,168.88795471191406,98.78929901123047,23.334213256835938,84.48536682128906,111.30999755859375,13.112738609313965,20.6343936920166,73.41458892822266
2015-10-13,167.8236083984375,98.15098571777344,23.048885345458984,84.56366729736328,111.86000061035156,13.028192520141602,20.600976943969727,73.41458892822266
2015-10-14,167.01907348632812,97.99372100830078,23.739906311035156,85.02605438232422,113.80999755859375,13.062010765075684,20.42554473876953,73.41458892822266
2015-10-15,169.5835418701172,99.60335540771484,23.90040397644043,84.73612976074219,113.29000091552734,13.028192520141602,20.5592098236084,73.41458892822266
2015-10-16,170.35459899902344,100.01966857910156,23.99848175048828,84.66552734375,112.48999786376953,13.036648750305176,20.59262466430664,73.41458892822266
2015-10-19,170.4384002685547,100.59320068359375,24.016313552856445,84.62640380859375,112.0199966430664,12.799925804138184,20.65110206604004,73.41458892822266
2015-10-20,170.22048950195312,100.0751724243164,23.967275619506836,84.33638763427734,112.7300033569336,12.825288772583008,20.6343936920166,73.39849090576172
2015-10-21,169.16453552246094,99.46459197998047,24.011857986450195,84.62640380859375,111.7300033569336,12.715381622314453,20.659456253051758,73.41458892822266
2015-10-22,172.02235412597656,101.49052429199219,24.74300193786621,84.71257781982422,111.69000244140625,12.757654190063477,20.9601993560791,73.41458892822266
2015-10-23,173.90798950195312,104.33051300048828,25.023868560791016,84.23448944091797,111.5,12.681563377380371,21.13563346862793,73.41458892822266
2015-10-26,173.48062133789062,104.39527893066406,24.54684066772461,84.45391082763672,111.43000030517578,12.647746086120605,21.068801879882812,73.39849090576172
2015-10-27,173.14535522460938,104.60804748535156,24.395263671875,84.66552734375,111.68000030517578,12.588565826416016,21.08551025390625,73.39849090576172
2015-10-28,175.11477661132812,105.47760772705078,24.640466690063477,84.2267074584961,110.77999877929688,12.799925804138184,21.26094627380371,73.39849090576172
2015-10-29,175.0142364501953,105.31110382080078,24.00294303894043,83.70942687988281,109.72000122070312,12.723835945129395,21.169052124023438,73.39849090576172
